This is the complete list of games supported by MAME 0.37 BETA 1 (Apr  6 2000)
Variants of the same game are not included, you can use the -listclones command
to get a list of the alternate versions of a given game.

The list is generated automatically and is not 100% accurate, particularly in
the "Screen Flip" column. Please let us know of any errors you find so we can
correct them.

The meanings of the columns are as follows:
Working - "No" means that the emulation has shortcomings that cause the game
  not to work correctly. This can be anywhere from just showing a black screen
  to being playable with major problems.
Correct Colors - "Yes" means that colors should be identical to the original,
  "Close" that they are very similar but wrong in places, "No" that they are
  completely wrong. In some cases, we were not able to find the color PROMs of
  the game. Those PROMs will be reported as "NO GOOD DUMP KNOWN" on startup,
  and the game will have wrong colors. The game is still reported as "Yes" in
  this column, because the code to handle the color PROMs is in the driver and
  if you provide them colors will be correct.
Sound - "Partial" means that sound support is either incomplete or not entirely
  accurate. Note that, due to analog circuitry which is difficult to emulate,
  sound may be significantly different from the real board. A common case is
  the presence of low pass filters that make the real board sound less harsh
  than the emulation.
Screen Flip - A large number of games have a dip switch setting for "Cocktail"
  cabinet, meaning that the players sit in front of each other, and the screen
  is flipped when player 2 is playing. Some games also have a "Flip Screen" dip
  switch. Those need special support in the driver, which is missing in many
  cases.
Internal Name - This is the unique name that should be specified on the command
  line to run the game. ROMs must be placed in the ROM path, either in a .zip
  file or in a subdirectory of the same name. The former is suggested, because
  the files will be identified by their CRC instead of requiring specific
  names.

+----------------------------------+-------+-------+-------+-------+----------+
|                                  |       |Correct|       |Screen | Internal |
| Neo Mr. Do!                      |  Yes  |  Yes  |  Yes  |  Yes  | neomrdo  |
| Neo Turf Masters / Big Tournament|  Yes  |  Yes  |  Yes  |  Yes  | turfmast |
| Neo-Geo Cup '98 - The Road to the|  Yes  |  Yes  |  Yes  |  Yes  | neocup98 |
| New Rally X                      |  Yes  |  Yes  | Yes(2)|  Yes  | nrallyx  |
| New Sinbad 7                     |  Yes  | Close |  Yes  |  Yes  | newsin7  |
| NewZealand Story, The            |  Yes  |  Yes  |  Yes  |  Yes  | tnzs     |
| Nibbler                          |  Yes  |  Yes  |Partial|  Yes  | nibbler  |
| Night Driver                     |  Yes  |  Yes  |   No  |  Yes  | nitedrvr |
| Night Stocker                    |  Yes  |  Yes  |  Yes  |  Yes  | nstocker |
| Ninja Combat                     |  Yes  |  Yes  |  Yes  |  Yes  | ncombat  |
| Ninja Commando                   |  Yes  |  Yes  |  Yes  |  Yes  | ncommand |
| Ninja Emaki                      |  Yes  |  Yes  |  Yes  |  Yes  | ninjemak |
| Ninja Gaiden                     |  Yes  |  Yes  |  Yes  |  Yes  | gaiden   |
| Ninja Kid II                     |  Yes  |  Yes  |   No  |  Yes  | ninjakd2 |
| Ninja Master's - haoh-ninpo-cho  |  Yes  |  Yes  |  Yes  |  Yes  | ninjamas |
| Ninja Spirit                     |  Yes  |  Yes  |  Yes  |   No  | nspirit  |
| No Man's Land                    |  Yes  |   No  |Partial|  Yes  | nomnlnd  |
| Nova 2001                        |  Yes  |  Yes  |  Yes  |  Yes  | nova2001 |
| Nunchackun                       |  Yes  |   No  |  Yes  |  Yes  | nunchaku |
| Off the Wall                     |  Yes  |  Yes  |  Yes  |  Yes  | offtwall |
| Off the Wall                     |  Yes  |  Yes  |  Yes  |  Yes  | otwalls  |
| Omega Race                       |  Yes  |  Yes  |  Yes  |  Yes  | omegrace |
| Operation Ragnagard / Shin-Oh-Ken|  Yes  |  Yes  |  Yes  |  Yes  | ragnagrd |
| Orbitron                         |  Yes  |  Yes  |  Yes  |  Yes  | orbitron |
| Ordyne                           |  Yes  |  Yes  |  Yes  |  Yes  | ordyne   |
| Out Run                          |  Yes  |  Yes  |  Yes  |  Yes  | outrun   |
| Out Zone                         |  Yes  |  Yes  |  Yes  |  Yes  | outzone  |
| Over Top                         |  Yes  |  Yes  |  Yes  |  Yes  | overtop  |
| Ozma Wars                        |  Yes  |  Yes  | Yes(2)|  Yes  | ozmawars |
| P-47 - The Phantom Fighter       |  Yes  |  Yes  |  Yes  |  Yes  | p47      |
| P.O.W. - Prisoners of War        |  Yes  |  Yes  |  Yes  |   No  | pow      |
| Pac & Pal                        |  Yes  |  Yes  |  Yes  |   No  | pacnpal  |
| Pac-Land                         |  Yes  |  Yes  |  Yes  |   No  | pacland  |
| Pac-Man Plus                     |  Yes  |  Yes  |  Yes  |  Yes  | pacplus  |
| Pac-Mania                        |  Yes  |  Yes  |  Yes  |  Yes  | pacmania |
| Palamedes                        |  Yes  |  Yes  |  Yes  |  Yes  | palamed  |
| Pandora's Palace                 |  Yes  |  Yes  |  Yes  |  Yes  | pandoras |
| Pang                             |  Yes  |  Yes  |  Yes  |  Yes  | pang     |
| Pang! 3                          |  Yes  |  Yes  |  Yes  |  Yes  | pang3    |
| Panic Bomber                     |  Yes  |  Yes  |  Yes  |  Yes  | panicbom |
| Paperboy                         |  Yes  |  Yes  |  Yes  |  Yes  | paperboy |
| Parodius DA!                     |  Yes  |  Yes  |  Yes  |  Yes  | parodius |
| Passing Shot                     | No(1) |  Yes  |  Yes  |  Yes  | passsht  |
| Peek-a-Boo!                      |  Yes  |  Yes  |  Yes  |  Yes  | peekaboo |
| Pengo                            |  Yes  |  Yes  |  Yes  |  Yes  | pengo    |
| Penguin-Kun Wars                 |  Yes  |  Yes  |  Yes  |  Yes  | pkunwar  |
| Pepper II                        |  Yes  |  Yes  |Partial|  Yes  | pepper2  |
| Percussor, The                   |  Yes  |  Yes  |  Yes  |  Yes  | percuss  |
| Perfect Soldiers                 |  Yes  |  Yes  |   No  |   No  | psoldier |
| Peter Pack-Rat                   |  Yes  |  Yes  |  Yes  |  Yes  | peterpak |
| Phantom II                       |  Yes  |  Yes  |   No  |  Yes  | phantom2 |
| Phelios                          |  Yes  |  Yes  |  Yes  |  Yes  | phelios  |
| Phoenix                          |  Yes  |  Yes  |  Yes  |   No  | phoenix  |
| Phozon                           |  Yes  |  Yes  |  Yes  |   No  | phozon   |
| Pickin'                          |  Yes  |  Yes  |  Yes  |  Yes  | pickin   |
| Pig Newton                       |  Yes  |  Yes  |   No  |  Yes  | pignewt  |
| Pigskin 621AD                    |  Yes  |  Yes  |  Yes  |  Yes  | pigskin  |
| Pinball Action                   |  Yes  |  Yes  |  Yes  |  Yes  | pbaction |
| Pinbo                            |  Yes  |  Yes  |  Yes  |  Yes  | pinbo    |
| Ping Pong                        |  Yes  |  Yes  |  Yes  |  Yes  | pingpong |
| Pioneer Balloon                  |  Yes  |  Yes  |Partial|  Yes  | pballoon |
| Pipi & Bibis / Whoopee           |  Yes  |  Yes  |  Yes  |  Yes  | pipibibs |
| Pirate Ship HigeMaru             |  Yes  |  Yes  |  Yes  |  Yes  | higemaru |
| Pisces                           |  Yes  |  Yes  |  Yes  |  Yes  | pisces   |
| Pistol Daimyo no Bouken          |  Yes  |  Yes  |  Yes  |  Yes  | pistoldm |
| Pit Fighter                      |  Yes  |  Yes  |  Yes  |  Yes  | pitfight |
| Pit, The                         |  Yes  |  Yes  |  Yes  |  Yes  | thepit   |
| Pitfall II                       |  Yes  |  Yes  |  Yes  |   No  | pitfall2 |
| Pleasure Goal / Futsal - 5 on 5 M|  Yes  |  Yes  |  Yes  |  Yes  | pgoal    |
| Pleiads                          |  Yes  |  Yes  |  Yes  |   No  | pleiads  |
| Plotting                         |  Yes  |  Yes  |  Yes  |  Yes  | plotting |
| Plump Pop                        |  Yes  |  Yes  |  Yes  |  Yes  | plumppop |
| Plus Alpha                       |  Yes  |  Yes  |  Yes  |  Yes  | plusalph |
| Pnickies                         |  Yes  |  Yes  |  Yes  |  Yes  | pnickj   |
| Pocket Gal                       |  Yes  |  Yes  |  Yes  |  Yes  | pcktgal  |
| Poker Ladies                     |  Yes  |  Yes  |  Yes  |  Yes  | pkladies |
| Polaris                          |  Yes  |  Yes  |   No  |  Yes  | polaris  |
| Pole Position                    |  Yes  |  Yes  | Yes(2)|  Yes  | polepos  |
| Pole Position II                 |  Yes  |  Yes  | Yes(2)|  Yes  | polepos2 |
| Ponpoko                          |  Yes  |  Yes  |  Yes  |  Yes  | ponpoko  |
| Pooyan                           |  Yes  |  Yes  |  Yes  |  Yes  | pooyan   |
| Pop 'n Bounce / Gapporin         |  Yes  |  Yes  |  Yes  |  Yes  | popbounc |
| Pop Flamer                       |  Yes  |  Yes  |  Yes  |   No  | popflame |
| Popeye                           | No(1) |  Yes  |  Yes  |   No  | popeye   |
| Port Man                         |  Yes  |  Yes  |  Yes  |  Yes  | portman  |
| Pound for Pound                  |  Yes  |  Yes  |Partial|   No  | poundfor |
| Power Drive                      |  Yes  |  Yes  |  Yes  |  Yes  | powerdrv |
| Power Spikes                     |  Yes  |  Yes  |  Yes  |   No  | pspikes  |
| Power Spikes II                  |  Yes  |  Yes  |  Yes  |  Yes  | pspikes2 |
| Power Surge                      |  Yes  |  Yes  |  Yes  |  Yes  | psurge   |
| Prehistoric Isle in 1930         |  Yes  |  Yes  |  Yes  |   No  | prehisle |
| Psychic 5                        |  Yes  |  Yes  |  Yes  |   No  | psychic5 |
| Psycho Soldier                   |  Yes  |  Yes  |Partial|   No  | psychos  |
| Psycho-Nics Oscar                |  Yes  |  Yes  |  Yes  |   No  | oscar    |
| PuckMan                          |  Yes  |  Yes  |  Yes  |  Yes  | pacman   |
| Pulsar                           |  Yes  |  Yes  |  Yes  |  Yes  | pulsar   |
| Pulstar                          |  Yes  |  Yes  |  Yes  |  Yes  | pulstar  |
| Punch-Out!!                      |  Yes  |  Yes  |  Yes  |  Yes  | punchout |
| Punisher, The                    |  Yes  |  Yes  |  Yes  |  Yes  | punisher |
| Punk Shot                        |  Yes  |  Yes  |  Yes  |  Yes  | punkshot |
| Puzzle Bobble / Bust-A-Move      |  Yes  |  Yes  |  Yes  |  Yes  | pbobble  |
| Puzzle Club                      |  Yes  |  Yes  |  Yes  |  Yes  | puzlclub |
| Puzzle De Pon                    |  Yes  |  Yes  |  Yes  |  Yes  | puzzledp |
| Puzzled / Joy Joy Kid            |  Yes  |  Yes  |  Yes  |  Yes  | joyjoy   |
| Puzznic                          |  Yes  |  Yes  |  Yes  |  Yes  | puzznic  |
| Q*bert                           |  Yes  |  Yes  |  Yes  |  Yes  | qbert    |
| Q*bert's Qubes                   |  Yes  |  Yes  |  Yes  |  Yes  | qbertqub |
| Qix                              |  Yes  |  Yes  |  Yes  |   No  | qix      |
| Quantum                          |  Yes  |   No  |  Yes  |  Yes  | quantum  |
| Quartet                          |  Yes  |  Yes  |  Yes  |  Yes  | quartet  |
| Quester                          |  Yes  |  Yes  |  Yes  |  Yes  | quester  |
| Quiz & Dragons                   |  Yes  |  Yes  |  Yes  |  Yes  | qad      |
| Quiz Daisousa Sen - The Last Coun|  Yes  |  Yes  |  Yes  |  Yes  | quizdais |
| Quiz King of Fighters            |  Yes  |  Yes  |  Yes  |  Yes  | quizkof  |
| Quiz Meintantei Neo Geo - Quiz Da|  Yes  |  Yes  |  Yes  |  Yes  | quizdai2 |
| Quiz Sangokushi                  |  Yes  |  Yes  |  Yes  |  Yes  | qsangoku |
| Quiz Tonosama no Yabou           |  Yes  |  Yes  |  Yes  |  Yes  | qtono1   |
| Quiz Tonosama no Yabou 2 Zenkoku-|  Yes  |  Yes  |  Yes  |  Yes  | qtono2   |
| Qwak                             |  Yes  |  Yes  |  Yes  |   No  | qwakprot |
| R-Type                           |  Yes  |  Yes  |  Yes  |   No  | rtype    |
| R-Type II                        |  Yes  |  Yes  |  Yes  |   No  | rtype2   |
| R-Type Leo                       |  Yes  |  Yes  |   No  |   No  | rtypeleo |
| Rabio Lepus                      |  Yes  |  Yes  |  Yes  |  Yes  | rabiolep |
| Radar Scope                      |  Yes  |  Yes  |Part(2)|  Yes  | radarscp |
| Radical Radial                   |  Yes  |  Yes  |  Yes  |   No  | radrad   |
| Raiden                           |  Yes  |  Yes  |  Yes  |  Yes  | raiden   |
| Raimais                          |   No  |  Yes  |   No  |  Yes  | raimais  |
| Rainbow Islands                  |  Yes  |  Yes  |  Yes  |   No  | rainbow  |
| Rally Bike / Dash Yarou          |  Yes  |  Yes  |  Yes  |  Yes  | rallybik |
| Rally X                          |  Yes  |  Yes  | Yes(2)|  Yes  | rallyx   |
| Rampage                          |  Yes  |  Yes  |  Yes  |  Yes  | rampage  |
| Rampart                          |  Yes  |  Yes  |  Yes  |  Yes  | rampart  |
| Rastan                           |  Yes  |  Yes  |  Yes  |   No  | rastan   |
| Razzmatazz                       |  Yes  |  Yes  |   No  |   No  | razmataz |
| Reactor                          |  Yes  |  Yes  |  Yes  |  Yes  | reactor  |
| Real Bout Fatal Fury / Real Bout |  Yes  |  Yes  |  Yes  |  Yes  | rbff1    |
| Real Bout Fatal Fury 2 - The Newc|  Yes  |  Yes  |  Yes  |  Yes  | rbff2    |
| Real Bout Fatal Fury Special / Re|  Yes  |  Yes  |  Yes  |  Yes  | rbffspec |
| Real Ghostbusters, The           |  Yes  |  Yes  |  Yes  |   No  | ghostb   |
| Red Alert                        |  Yes  |   No  |Partial|  Yes  | redalert |
| Red Baron                        |  Yes  |  Yes  |  Yes  |  Yes  | redbaron |
| Regulus                          |  Yes  |  Yes  |  Yes  |   No  | regulus  |
| Relief Pitcher                   |  Yes  |  Yes  |  Yes  |  Yes  | relief   |
| Renegade                         |  Yes  |  Yes  |  Yes  |   No  | renegade |
| Rescue                           |  Yes  |  Yes  |  Yes  |  Yes  | rescue   |
| Rescue Raider                    |  Yes  |  Yes  |  Yes  |  Yes  | rescraid |
| Return of Ishtar, The            |  Yes  |  Yes  |  Yes  |  Yes  | roishtar |
| Return of the Invaders           |  Yes  |  Yes  |  Yes  |  Yes  | retofinv |
| Return of the Jedi               |  Yes  |  Yes  |  Yes  |   No  | jedi     |
| Riding Hero                      |  Yes  |  Yes  |  Yes  |  Yes  | ridhero  |
| Riot City                        |  Yes  |  Yes  |  Yes  |  Yes  | riotcity |
| Rip Cord                         |   No  |  Yes  |  Yes  |  Yes  | ripcord  |
| Rip Off                          |  Yes  |  Yes  | Yes(2)|  Yes  | ripoff   |
| River Patrol                     |  Yes  |  Yes  |  Yes  |  Yes  | rpatrolb |
| Road Blasters                    |  Yes  |  Yes  |  Yes  |  Yes  | roadblst |
| Road Fighter                     |  Yes  |  Yes  |  Yes  |  Yes  | roadf    |
| Road Runner                      |  Yes  |  Yes  |  Yes  |  Yes  | roadrunn |
| Robby Roto                       |  Yes  |  Yes  |  Yes  |  Yes  | robby    |
| Robo Army                        |  Yes  |  Yes  |  Yes  |  Yes  | roboarmy |
| Robocop                          | No(1) |  Yes  |  Yes  |   No  | robocop  |
| Robot Bowl                       |  Yes  |  Yes  |Partial|  Yes  | robotbwl |
| Robotron                         |  Yes  |  Yes  |  Yes  |  Yes  | robotron |
| Roc'n Rope                       |  Yes  |  Yes  |  Yes  |  Yes  | rocnrope |
| Rock 'n Rage                     |  Yes  |  Yes  |  Yes  |  Yes  | rockrage |
| RodLand                          |  Yes  |  Yes  |  Yes  |  Yes  | rodland  |
| Rollergames                      |  Yes  |  Yes  |  Yes  |  Yes  | rollerg  |
| Rolling Crash / Moon Base        |  Yes  |  Yes  |   No  |  Yes  | rollingc |
| Rolling Thunder                  |  Yes  |  Yes  |  Yes  |  Yes  | rthunder |
| Rolling Thunder 2                |  Yes  |  Yes  |  Yes  |  Yes  | rthun2   |
| Rompers                          |  Yes  |  Yes  |  Yes  |  Yes  | rompers  |
| Round-Up                         |  Yes  |  Yes  |  Yes  |  Yes  | roundup  |
| Route 16                         |  Yes  |  Yes  |  Yes  |  Yes  | route16  |
| Rygar                            |  Yes  |  Yes  |  Yes  |   No  | rygar    |
| S.P.Y. - Special Project Y       |   No  |  Yes  |  Yes  |  Yes  | spy      |
| S.R.D. Mission                   |  Yes  |  Yes  |  Yes  |  Yes  | srdmissn |
| Safari                           |  Yes  |  Yes  |   No  |  Yes  | safari   |
| Saint Dragon                     |  Yes  |  Yes  |  Yes  |  Yes  | stdragon |
| Salamander                       |  Yes  |  Yes  |  Yes  |  Yes  | salamand |
| Samurai                          |  Yes  |  Yes  |   No  |  Yes  | samurai  |
| Samurai Nihon-ichi               |  Yes  |  Yes  |  Yes  |  Yes  | tsamurai |
| Samurai Shodown / Samurai Spirits|  Yes  |  Yes  |  Yes  |  Yes  | samsho   |
| Samurai Shodown II / Shin Samurai|  Yes  |  Yes  |  Yes  |  Yes  | samsho2  |
| Samurai Shodown III / Samurai Spi|  Yes  |  Yes  |  Yes  |  Yes  | samsho3  |
| Samurai Shodown IV - Amakusa's Re|  Yes  |  Yes  |  Yes  |  Yes  | samsho4  |
| SAR - Search And Rescue          |  Yes  |  Yes  |  Yes  |   No  | searchar |
| Sarge                            |  Yes  |  Yes  |  Yes  |  Yes  | sarge    |
| Sasuke vs. Commander             |  Yes  |  Yes  |   No  |  Yes  | sasuke   |
| Satan of Saturn                  |  Yes  |  Yes  |Partial|  Yes  | satansat |
| Satan's Hollow                   |  Yes  |  Yes  |  Yes  |  Yes  | shollow  |
| Saturday Night Slam Masters      |  Yes  |  Yes  |  Yes  |  Yes  | slammast |
| Saturn                           |  Yes  |  Yes  |  Yes  |  Yes  | saturn   |
| Sauro                            |  Yes  | Close |  Yes  |  Yes  | sauro    |
| Savage Reign / Fu'un Mokushiroku |  Yes  |  Yes  |  Yes  |  Yes  | savagere |
| Scion                            |  Yes  | Close |  Yes  |  Yes  | scion    |
| Scramble                         |  Yes  |  Yes  |  Yes  |  Yes  | scramble |
| Scrambled Egg                    |  Yes  |  Yes  |  Yes  |  Yes  | scregg   |
| SDI - Strategic Defense Initiativ|  Yes  |  Yes  |  Yes  |  Yes  | sdi      |
| Sea Fighter Poseidon             |  Yes  |  Yes  |  Yes  |  Yes  | sfposeid |
| Sea Wolf                         |  Yes  |  Yes  |   No  |  Yes  | seawolf  |
| Sea Wolf II                      |  Yes  |  Yes  |   No  |  Yes  | seawolf2 |
| Section Z                        |  Yes  |  Yes  |  Yes  |  Yes  | sectionz |
| Sega Ninja                       |  Yes  |  Yes  |  Yes  |   No  | seganinj |
| Seicross                         |  Yes  |  Yes  |  Yes  |   No  | seicross |
| Sengoku / Sengoku Denshou        |  Yes  |  Yes  |  Yes  |  Yes  | sengoku  |
| Sengoku 2 / Sengoku Denshou 2    |  Yes  |  Yes  |  Yes  |  Yes  | sengoku2 |
| Senjyo                           |  Yes  |  Yes  |  Yes  |  Yes  | senjyo   |
| Sente Diagnostic Cartridge       |  Yes  |  Yes  |  Yes  |  Yes  | sentetst |
| Shackled                         |  Yes  |  Yes  |  Yes  |   No  | shackled |
| Shadow Dancer                    |  Yes  |  Yes  |  Yes  |  Yes  | shdancer |
| Shadow Land                      |  Yes  |  Yes  |  Yes  |  Yes  | shadowld |
| Shanghai                         |   No  |  Yes  |  Yes  |  Yes  | shanghai |
| Shark Attack                     |  Yes  |  Yes  |  Yes  |  Yes  | sharkatt |
| Shinobi                          |  Yes  |  Yes  |  Yes  |  Yes  | shinobi  |
| Shock Troopers                   |  Yes  |  Yes  |  Yes  |  Yes  | shocktro |
| Shock Troopers - 2nd Squad       |  Yes  |  Yes  |  Yes  |  Yes  | shocktr2 |
| Shoot Out                        |  Yes  |  Yes  |  Yes  |   No  | shootout |
| Shooting Master                  |   No  |  Yes  |  Yes  |   No  | shtngmst |
| Showdown                         |  Yes  |  Yes  |  Yes  |  Yes  | showdown |
| Shuffleboard                     |  Yes  |  Yes  |   No  |  Yes  | shuffle  |
| Shuuz                            |  Yes  |  Yes  |  Yes  |  Yes  | shuuz    |
| Sichuan II                       |  Yes  |  Yes  |  Yes  |  Yes  | sichuan2 |
| Side Arms - Hyper Dyne           |  Yes  |  Yes  |  Yes  |   No  | sidearms |
| Side Pocket                      |  Yes  |  Yes  |  Yes  |  Yes  | sidepckt |
| Side Track                       |  Yes  |  Yes  | Yes(2)|  Yes  | sidetrac |
| Silkworm                         |  Yes  |  Yes  |  Yes  |   No  | silkworm |
| Simpsons, The                    |  Yes  |  Yes  |  Yes  |  Yes  | simpsons |
| Sindbad Mystery                  |  Yes  |  Yes  |  Yes  |  Yes  | sindbadm |
| Sinistar                         |  Yes  |  Yes  |  Yes  |  Yes  | sinistar |
| Skull & Crossbones               |  Yes  |  Yes  |  Yes  |  Yes  | skullxbo |
| Sky Adventure                    |  Yes  |  Yes  |  Yes  |   No  | skyadvnt |
| Sky Chuter                       |  Yes  |   No  |  Yes  |  Yes  | skychut  |
| Sky Diver                        |  Yes  |  Yes  |   No  |  Yes  | skydiver |
| Sky Kid                          |  Yes  |  Yes  |  Yes  |  Yes  | skykid   |
| Sky Kid Deluxe                   |  Yes  |  Yes  |  Yes  |  Yes  | skykiddx |
| Sky Lancer                       |  Yes  |  Yes  |  Yes  |   No  | skylancr |
| Sky Soldiers                     |  Yes  |  Yes  |  Yes  |   No  | skysoldr |
| Slap Fight                       | No(1) |  Yes  |  Yes  |   No  | slapfigh |
| Sly Spy                          |  Yes  |  Yes  |  Yes  |   No  | slyspy   |
| Smash T.V.                       |  Yes  |  Yes  |  Yes  |  Yes  | smashtv  |
| Snacks'n Jaxson                  |  Yes  |  Yes  |  Yes  |  Yes  | snakjack |
| Snake Pit                        |  Yes  |  Yes  |  Yes  |  Yes  | snakepit |
| Snap Jack                        |  Yes  |  Yes  |  Yes  |  Yes  | snapjack |
| Snow Bros. - Nick & Tom          |  Yes  |  Yes  |  Yes  |  Yes  | snowbros |
| Snow Bros. 2 - With New Elves    |  Yes  |  Yes  |  Yes  |  Yes  | snowbro2 |
| Soccer Brawl                     |  Yes  |  Yes  |  Yes  |  Yes  | socbrawl |
| Solar Fox                        |  Yes  |  Yes  |  Yes  |  Yes  | solarfox |
| Solar Quest                      |  Yes  |  Yes  | Yes(2)|  Yes  | solarq   |
| Soldam                           |  Yes  |  Yes  |  Yes  |  Yes  | soldamj  |
| Solomon's Key                    |  Yes  |  Yes  |  Yes  |  Yes  | solomon  |
| Son of Phoenix                   |  Yes  |  Yes  |  Yes  |  Yes  | sonofphx |
| Son Son                          |  Yes  |  Yes  |  Yes  |  Yes  | sonson   |
| SOS                              |  Yes  |  Yes  |Partial|  Yes  | sos      |
| Souko Ban Deluxe                 |  Yes  |  Yes  |  Yes  |  Yes  | soukobdx |
| Space Attack                     |  Yes  |  Yes  |   No  |  Yes  | sspaceat |
| Space Chaser                     |  Yes  |  Yes  |   No  |  Yes  | schaser  |
| Space Duel                       |  Yes  |  Yes  |  Yes  |  Yes  | spacduel |
| Space Dungeon                    |  Yes  |  Yes  |  Yes  |   No  | sdungeon |
| Space Encounters                 |  Yes  |  Yes  |   No  |  Yes  | spcenctr |
| Space Fever                      |  Yes  |  Yes  |Partial|  Yes  | sfeverbw |
| Space Fever                      |  Yes  |  Yes  |Partial|  Yes  | spacefev |
| Space Firebird                   |  Yes  | Close |Partial|  Yes  | spacefb  |
| Space Fury                       |  Yes  |  Yes  | Yes(2)|  Yes  | spacfury |
| Space Harrier                    |  Yes  |  Yes  |  Yes  |  Yes  | sharrier |
| Space Intruder                   |  Yes  |   No  |   No  |  Yes  | spaceint |
| Space Invaders                   |  Yes  |  Yes  | Yes(2)|  Yes  | invaders |
| Space Invaders II                |  Yes  |  Yes  | Yes(2)|  Yes  | invad2ct |
| Space Invaders Part II           |  Yes  |  Yes  | Yes(2)|  Yes  | invadpt2 |
| Space Laser                      |  Yes  |  Yes  | Yes(2)|  Yes  | spclaser |
| Space Odyssey                    |  Yes  |  Yes  | Yes(2)|  Yes  | spaceod  |
| Space Panic                      |  Yes  |  Yes  | Yes(2)|  Yes  | panic    |
| Space Seeker                     |  Yes  |  Yes  |  Yes  |  Yes  | spaceskr |
| Space Tactics                    |  Yes  |  Yes  |   No  |  Yes  | stactics |
| Space Trek                       |  Yes  |  Yes  |   No  |  Yes  | spacetrk |
| Space Wars                       |  Yes  |  Yes  | Yes(2)|  Yes  | spacewar |
| Space Zap                        |  Yes  |  Yes  |  Yes  |  Yes  | spacezap |
| Sparkz                           |  Yes  |  Yes  |  Yes  |  Yes  | sparkz   |
| Spectar                          |  Yes  |  Yes  | Yes(2)|  Yes  | spectar  |
| Speed Ball                       |  Yes  |  Yes  |  Yes  |  Yes  | speedbal |
| Speed Coin                       |  Yes  |  Yes  |  Yes  |  Yes  | spdcoin  |
| Speed Freak                      |  Yes  |  Yes  | Yes(2)|  Yes  | speedfrk |
| Speed Rumbler, The               |  Yes  |  Yes  |  Yes  |  Yes  | srumbler |
| Spelunker                        |  Yes  |  Yes  |  Yes  |  Yes  | spelunkr |
| Spelunker II                     |  Yes  |  Yes  |  Yes  |  Yes  | spelunk2 |
| Spiders                          |  Yes  |  Yes  |   No  |   No  | spiders  |
| Spiker                           |  Yes  |  Yes  |  Yes  |  Yes  | spiker   |
| Spinal Breakers                  |  Yes  |  Yes  |Partial|   No  | spinlbrk |
| Spinmaster / Miracle Adventure   |  Yes  |  Yes  |  Yes  |  Yes  | spinmast |
| Splash!                          |  Yes  |  Yes  |  Yes  |  Yes  | splash   |
| Splat!                           |  Yes  |  Yes  |  Yes  |  Yes  | splat    |
| Splatter House                   |  Yes  |  Yes  |  Yes  |  Yes  | splatter |
| Springer                         |  Yes  |  Yes  |  Yes  |  Yes  | springer |
| Sprint 1                         |  Yes  |  Yes  |   No  |  Yes  | sprint1  |
| Spy Hunter                       |  Yes  |  Yes  |  Yes  |  Yes  | spyhunt  |
| Spy Hunter 2                     |  Yes  |  Yes  |  Yes  |  Yes  | spyhunt2 |
| Stadium Hero                     |  Yes  |  Yes  |  Yes  |  Yes  | stadhero |
| Stakes Winner / Stakes Winner - G|  Yes  |  Yes  |  Yes  |  Yes  | stakwin  |
| Stakes Winner 2                  |  Yes  |  Yes  |  Yes  |  Yes  | stakwin2 |
| Star Castle                      |  Yes  |  Yes  | Yes(2)|  Yes  | starcas  |
| Star Cruiser                     |  Yes  |  Yes  | Yes(2)|  Yes  | starcrus |
| Star Fire                        |   No  |  Yes  |   No  |  Yes  | starfire |
| Star Force                       |  Yes  |  Yes  |  Yes  |  Yes  | starforc |
| Star Hawk                        |  Yes  |  Yes  | Yes(2)|  Yes  | starhawk |
| Star Jacker                      |  Yes  |  Yes  |  Yes  |   No  | starjack |
| Star Trek                        |  Yes  |  Yes  | Yes(2)|  Yes  | startrek |
| Star Wars                        |  Yes  |  Yes  |  Yes  |  Yes  | starwars |
| Stargate                         |  Yes  |  Yes  |  Yes  |  Yes  | stargate |
| Stinger                          |  Yes  | Close |  Yes  |  Yes  | stinger  |
| Stocker                          |  Yes  |  Yes  |  Yes  |  Yes  | stocker  |
| Strategy X                       |  Yes  |  Yes  |  Yes  |  Yes  | stratgyx |
| Stratovox                        |  Yes  |  Yes  |  Yes  |  Yes  | stratvox |
| Streaking                        |  Yes  |  Yes  |  Yes  |  Yes  | streakng |
| Street Fighter                   |  Yes  |  Yes  |  Yes  |  Yes  | sf1      |
| Street Fighter II - The World War|  Yes  |  Yes  |  Yes  |  Yes  | sf2      |
| Street Fighter II' - Champion Edi|  Yes  |  Yes  |  Yes  |  Yes  | sf2ce    |
| Street Football                  |  Yes  |  Yes  |  Yes  |  Yes  | sfootbal |
| Street Hoop / Street Slam / Dunk |  Yes  |  Yes  |  Yes  |  Yes  | strhoop  |
| Street Smart                     |  Yes  |  Yes  |  Yes  |   No  | streetsm |
| Strider                          |  Yes  |  Yes  |  Yes  |  Yes  | strider  |
| Strike Force                     |  Yes  |  Yes  |  Yes  |  Yes  | strkforc |
| Subs                             |  Yes  |  Yes  |   No  |  Yes  | subs     |
| Sundance                         |   No  |  Yes  | Yes(2)|  Yes  | sundance |
| Sunset Riders                    |  Yes  |  Yes  |  Yes  |  Yes  | ssriders |
| Super Bagman                     |  Yes  |  Yes  |Partial|  Yes  | sbagman  |
| Super Basketball                 |  Yes  |  Yes  |  Yes  |  Yes  | sbasketb |
